channel,campaign,medium,source,url_template
email_welcome,launch,email,affiliate,"{{REFERRAL_URL}}?utm_source=affiliate&utm_medium=email&utm_campaign=welcome"
email_launch,launch,email,affiliate,"{{REFERRAL_URL}}?utm_source=affiliate&utm_medium=email&utm_campaign=launch"
email_review,launch,email,affiliate,"{{REFERRAL_URL}}?utm_source=affiliate&utm_medium=email&utm_campaign=review"
email_testimonial,launch,email,affiliate,"{{REFERRAL_URL}}?utm_source=affiliate&utm_medium=email&utm_campaign=testimonial"
social_twitter,organic,social,twitter,"{{REFERRAL_URL}}?utm_source=twitter&utm_medium=social&utm_campaign=organic"
social_instagram,organic,social,instagram,"{{REFERRAL_URL}}?utm_source=instagram&utm_medium=social&utm_campaign=organic"
social_linkedin,organic,social,linkedin,"{{REFERRAL_URL}}?utm_source=linkedin&utm_medium=social&utm_campaign=organic"
social_tiktok,organic,social,tiktok,"{{REFERRAL_URL}}?utm_source=tiktok&utm_medium=social&utm_campaign=organic"
social_youtube,organic,social,youtube,"{{REFERRAL_URL}}?utm_source=youtube&utm_medium=social&utm_campaign=organic"
blog_review,content,blog,affiliate,"{{REFERRAL_URL}}?utm_source=affiliate&utm_medium=blog&utm_campaign=review"
blog_advertorial,content,blog,affiliate,"{{REFERRAL_URL}}?utm_source=affiliate&utm_medium=blog&utm_campaign=advertorial"
banner_leaderboard,display,banner,affiliate,"{{REFERRAL_URL}}?utm_source=affiliate&utm_medium=banner&utm_campaign=leaderboard"
banner_sidebar,display,banner,affiliate,"{{REFERRAL_URL}}?utm_source=affiliate&utm_medium=banner&utm_campaign=sidebar"
badge_powered_by,referral,badge,affiliate,"{{REFERRAL_URL}}?utm_source=affiliate&utm_medium=badge&utm_campaign=powered_by"
badge_built_with,referral,badge,affiliate,"{{REFERRAL_URL}}?utm_source=affiliate&utm_medium=badge&utm_campaign=built_with"
