study_id,source,year,metric,raw_value,raw_unit,minutes_per_day,switches_per_day,sample_size,observation_days,method,population,scope,comparability,normalization_formula,chart_label,source_url,page_or_section,notes
jersild_1927,Archives of Psychology,1927,task_switch_cost,,,,,81,1,experiment,general_population,task_switching,supporting,,"Jersild 1927 · First switch cost study",https://psycnet.apa.org/record/1928-00322-001,,"First systematic study demonstrating people perform slower when alternating tasks vs single task"
zeigarnik_1927,Psychologische Forschung,1927,incomplete_task_memory,,,,,,,experiment,general_population,task_switching,supporting,,"Zeigarnik 1927 · Incomplete tasks persist",https://en.wikipedia.org/wiki/Zeigarnik_effect,,"Interrupted tasks remembered 2x better; establishes cognitive load of unfinished work"
stroop_1935,Journal of Experimental Psychology,1935,cognitive_interference,73,percent_increase,,,170,,experiment,college_students,task_switching,supporting,,"Stroop 1935 · 73% slower on interference",https://psycnet.apa.org/record/1936-01863-001,,"73% longer to name ink colors when words spelled different colors"
hick_1952,Quarterly Journal of Experimental Psychology,1952,processing_rate,5,bits_per_second,,,,,experiment,general_population,attention,supporting,,"Hick 1952 · 5 bits/sec processing",https://journals.sagepub.com/doi/10.1080/17470215208416600,,"Human cognitive processing operates at ~5 bits per second"
broadbent_1958,Pergamon Press,1958,throughput_limit,10,bits_per_second,,,,,experiment,general_population,attention,supporting,,"Broadbent 1958 · 10 bits/sec limit",https://en.wikipedia.org/wiki/Broadbent%27s_filter_model_of_attention,,"Humans have limited throughput of ~10 bits per second"
sternberg_1966,Science,1966,memory_scan_rate,38,ms_per_item,,,,,experiment,general_population,attention,supporting,,"Sternberg 1966 · 38ms per memory item",https://www.researchgate.net/publication/215606890_High-Speed_Scanning_in_Human_Memory,,"For every additional memory item response time increases 38ms"
kahneman_1973,Prentice-Hall,1973,attention_capacity,,,,,,,theory,general_population,attention,not_comparable,,"Kahneman 1973 · Capacity theory",https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2018.01133/full,,"Attention is a limited mental resource - dual-task interference when demands exceed capacity"
schneider_shiffrin_1977,Psychological Review,1977,automaticity_threshold,2100,trials,,,,,experiment,general_population,task_switching,supporting,,"Schneider & Shiffrin 1977 · Automatic vs controlled",https://psych.indiana.edu/documents/shiffrin-and-schneider-1977.pdf,,"Automatic detection develops after 2100+ consistent mapping trials"
gillie_broadbent_1989,Ergonomics,1989,interruption_disruption,,,20,,40,,experiment,general_population,interruptions,direct,,"Gillie & Broadbent 1989 · Interruption effects",https://interruptions.net,,"Complex interruptions cause 20+ min disruption; simple ones minimal"
allport_1994,MIT Press,1994,asymmetric_switch_cost,,,,,,,experiment,general_population,task_switching,supporting,,"Allport 1994 · Asymmetric switch costs",https://en.wikipedia.org/wiki/Task_switching_(psychology),,"Larger switch costs when switching TO easier/dominant tasks"
